1;Barna;Andrea;L;10/A;1996.06.12;Solt;152
2;Horváth;Mariann;L;11/C;1995.01.22;Solt;188
3;Kovács;Zoltán;F;10/B;1996.11.22;Lajosmizse;174
4;Kovács;Mariann;L;10/A;1996.01.23;Szolnok;161
5;Nagy;Gergely;F;12/E;1994.11.30;Kiskőrös;165
6;Barna;Sándor;F;12/B;1992.11.08;Szolnok;178
7;Kovács;László;F;10/A;1996.03.12;Lajosmizse;159
8;Barna;Zoltán;F;10/A;1996.05.28;Nagykőrös;166
9;Horváth;Andrea;L;10/A;1996.10.28;Kiskőrös;172
10;Szabó;Sándor;F;13/A;1993.06.11;Solt;177
11;Szőke;Mariann;L;12/A;1994.07.02;Kecel;154
12;Kiss;Katalin;L;13/A;1993.02.20;Kecel;188
13;Kovács;Andrea;L;11/C;1995.04.24;Szeged;154
14;Szabó;Katalin;L;10/A;1996.10.06;Szolnok;165
15;Kiss;Andrea;L;12/B;1992.10.15;Solt;192
16;Kiss;József;F;11/A;1995.05.15;Szeged;155
17;Kiss;László;F;12/A;1994.06.22;Solt;160
18;Kovács;László;F;12/E;1994.02.04;Kecskemét;174
19;Nagy;Mariann;L;13/A;1993.04.17;Solt;173
20;Szabó;József;F;11/C;1995.04.07;Kecskemét;150
21;Lakatos;László;F;11/C;1995.05.28;Nagykőrös;162
22;Kovács;Sándor;F;11/A;1995.09.22;Szeged;170
23;Barna;Katalin;L;12/B;1992.03.14;Nagykőrös;191
24;Szabó;József;F;11/C;1995.09.19;Lajosmizse;161
25;Szabó;József;F;13/A;1993.04.14;Kecskemét;198
26;Horváth;Sándor;F;11/C;1995.12.18;Szeged;151
27;Horváth;Mariann;L;13/A;1993.01.23;Kiskőrös;161
28;Nagy;Sándor;F;10/B;1996.05.30;Kecskemét;163
29;Barna;József;F;12/B;1992.11.09;Kecel;198
30;Szőke;Zoltán;F;11/A;1995.09.02;Solt;188
31;Lakatos;László;F;12/E;1994.11.17;Szeged;196
32;Kovács;Zoltán;F;12/E;1994.06.10;Lajosmizse;185
33;Barna;László;F;12/E;1994.11.30;Lajosmizse;173
34;Szőke;Zoltán;F;11/A;1995.04.26;Solt;157
35;Kiss;Mariann;L;11/A;1995.08.16;Kecel;168
36;Szőke;Andrea;L;11/C;1995.02.01;Kecskemét;190
37;Lakatos;Mariann;L;12/A;1994.11.01;Lajosmizse;187
38;Lakatos;József;F;12/A;1994.06.09;Lajosmizse;190
39;Horváth;Mariann;L;12/A;1994.02.03;Kecel;170
40;Horváth;József;F;10/A;1996.04.19;Szeged;183
41;Szabó;Zoltán;F;13/A;1993.02.12;Szeged;195
42;Nagy;Zoltán;F;12/B;1992.05.08;Kecskemét;186
43;Szabó;Andrea;L;11/A;1995.09.19;Nagykőrös;161
44;Barna;László;F;11/C;1995.01.31;Lajosmizse;158
45;Kiss;Mariann;L;10/B;1996.03.02;Szeged;186
46;Kovács;Katalin;L;11/C;1995.09.27;Szeged;191
47;Barna;Andrea;L;10/B;1996.12.13;Kecskemét;181
48;Kovács;Sándor;F;11/C;1995.11.29;Lajosmizse;195
49;Barna;Gergely;F;12/E;1994.01.01;Szolnok;169
50;Kovács;László;F;11/A;1995.06.15;Nagykőrös;180
51;Szőke;Gergely;F;11/A;1995.04.21;Kecel;195
52;Barna;Katalin;L;10/B;1996.03.11;Szolnok;150
53;Lakatos;Gergely;F;12/E;1994.03.18;Kecel;181
54;Lakatos;Mariann;L;11/C;1995.12.15;Nagykőrös;159
55;Barna;Katalin;L;10/B;1996.09.10;Szeged;185
56;Szabó;Zoltán;F;11/A;1995.09.27;Szeged;159
57;Szőke;Andrea;L;10/B;1996.09.17;Lajosmizse;165
58;Szőke;Gergely;F;12/B;1992.08.16;Kiskőrös;166
59;Kiss;Andrea;L;13/A;1993.11.04;Szolnok;174
60;Nagy;Andrea;L;10/B;1996.01.20;Lajosmizse;151
61;Szabó;Sándor;F;12/E;1994.04.09;Kiskőrös;167
62;Horváth;László;F;11/C;1995.08.14;Nagykőrös;192
63;Barna;László;F;10/A;1996.11.18;Lajosmizse;159
